Author,Title,Journal,Abstract,"Times Cited, WoS Core",Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,experimental?,Replication?,comments,Open Access (article),citation of initial study,author overlap,year of initial study,years between initial and replication study,experimental paradigm,sample,materials/set-up,measurement (dependent variable),manipulation (independent variable),control,type of replication,language under investigation,"if direct, check for success",citation count of replication,citation count of initial study,,
"Hall, Jeffrey A.; La France, Betty H.",How Context Matters: Predicting Men's Homophobic Slang Use,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"This article reports two experiments exploring heterosexual men's use of homophobic slang in social contexts varied by sex ratio. Study 1 (N = 127) experimentally demonstrated that compared with a mixed-sex audience, heterosexual men with an all-male audience reported higher levels of hetero-identity concern (HIC) and more homophobic slang use. These men had similar levels of HIC compared with men with an all-female audience. Study 2 replicated Study 1's mean difference tests and explored whether the relationship between HIC and homophobic slang was affected by group sex ratio and social norms. Results suggest the relationship between HIC and homophobic slang was significant only in all-male and mixed-sex audiences and the norm of noninterference was associated with homophobic slang only in all-male groups.",1,JUN,2013,32,2,162,180,,10.1177/0261927X12456383,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Hansen, Karolina; Rakic, Tamara; Steffens, Melanie C.",When Actions Speak Louder Than Words: Preventing Discrimination of Nonstandard Speakers,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"Prejudice against a social group may lead to discrimination of members of this group. One very strong cue of group membership is a (non)standard accent in speech. Surprisingly, hardly any interventions against accent-based discrimination have been tested. In the current article, we introduce an intervention in which what participants experience themselves unobtrusively changes their evaluations of others. In the present experiment, participants in the experimental condition talked to a confederate in a foreign language before the experiment, whereas those in the control condition received no treatment. Replicating previous research, participants in the control condition discriminated against Turkish-accented job candidates. In contrast, those in the experimental condition evaluated Turkish- and standard-accented candidates as similarly competent. We discuss potential mediating and moderating factors of this effect.",19,JAN,2014,33,1,68,77,,10.1177/0261927X13499761,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Lagerwerf, Luuk; Boeynaems, Amber; van Egmond-Brussee, Charlotte; Burgers, Christian",Immediate Attention for Public Speech: Differential Effects of Rhetorical Schemes and Valence Framing in Political Radio Speeches,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"Political campaign speeches are deemed influential in winning people's minds and votes. While the language used in such speeches has often been credited with their impact, empirical research in this area is scarce. We report on two experiments investigating how language variables such as rhetorical schemes (e.g., contrast, list of three) and valence framing (using positive vs. negative words) affect immediate attention and consecutive information processing of political radio speeches. Experiment 1 measured immediate attention for radio speeches measured through moment-to-moment, self-report measures. Negative framing, compared with positive framing, increased immediate attention. Rhetorical schemes only increased attention in positively (but not in negatively) framed speeches. No effects on recall were found. In Experiment 2, immediate attention for similar radio speeches was measured through secondary task reaction times. Experiment 2 replicated the first experiment's effects on attention, and also yielded recall effects. A multiple-mediator model showed that comprehensibility mediated effects of rhetorical schemes and framing on recall.",2,JUN,2015,34,3,273,299,,10.1177/0261927X14557947,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Malloch, Yining Zhou; Feng, Bo; Wang, Bingqing; Kim, Chelsea",Advice Padded With Encouragement: A Preliminary Assessment of an Extended Integrated Model of Advice Giving in Supportive Interactions,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"The integrated model of advice giving (IMA) proposes that advising in supportive interactions should be carried out in three sequential moves: emotional support-problem inquiry and analysis-advice (EPA). Prior research indicates the utility of this framework for effective advising in supportive interactions. The current project proposed and tested an extended integrated model of advice giving, adding eSteem support (S) as a fourth move in the sequence. Two experiments were conducted. Study 1 included 371 participants recruited from Amazon Mechanical Turk. Results showed that the emotional support-problem inquiry and analysis-advice-eSteem support (EPAS) sequence did not elicit significantly higher evaluations of advice quality compared with the EPA or emotional support-problem inquiry and analysis-eSteem support-advice (EPSA) sequence. Study 2 replicated Study 1 with 364 college students and found that, compared with the other two sequences, the EPAS sequence did not produce significantly higher evaluations of advice quality or intention to follow advice. Theoretical implications and directions for future research are discussed.",0,JUN,2020,39,3,334,348,,10.1177/0261927X20911991,1,1,inner-paper replication,0,same,1,2020,0,0,1,0,0,1,0,conceptual,English,NA,,,,
"Schroeder, Tobias",A Model of Language-Based Impression Formation and Attribution Among Germans,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,"Research on the English and the Japanese languages has shown that impression formation and attribution processes can be modeled as stemming from a desire to maximize affective coherence in linguistic representations of social events. This article describes a replication in the German language, simultaneously uncovering subtle cultural distinctions. Subjects (N = 1,905) rated 376 nouns, 393 verbs, 331 adjectives, 128 combinations of nouns and adjectives, and 100 short descriptions of social interaction on the three dimensions of the semantic differential (evaluation, potency, and activity). The data were used to estimate a set of regression equations that can be used to model impression formation and attribution. Sample applications of the model demonstrate its ability to predict the outcome of textbook classics in experimental social psychology.",17,MAR,2011,30,1,82,102,,10.1177/0261927X10387103,1,1,replication in a different language,0,"Smith, H. W., Matsuno, T., & Umino, M. (1994). How similar are impression formation processes among Japanese and Americans? Social Psychology Quarterly, 57, 124-139.",0,1994,17,0,1,1,0,0,0,conceptual,German (previously Japanese),NA,,,,
"Andrews, S",Lexical retrieval and selection processes: Effects of transposed-letter confusability,JOURNAL OF MEMORY AND LANGUAGE,"Three experiments investigated performance for words which differ from another word only by the transposition of two letters (e.g., salt, slat). In Experiment 1, high frequency words from transposed-letter (TL) confusable pairs were responded to more slowly than carefully matched control words in both the lexical decision and word naming task. Low frequency TL words were responded to less accurately than control words in the naming but not the lexical decision task. Experiment 2 replicated the naming data of Experiment 1 and also revealed that naming accuracy for TL word targets was reduced when they were preceded by a brief masked presentation of their confusable mate. Experiment 3 provided a third replication of the impaired naming performance for TL target words and demonstrated that the effect was insensitive to concurrent dual task demands. These TL confusability effects provide strong constraints that can contribute to evaluation and specification of current models of visual word recognition. (C) 1996 Academic Press, Inc.",135,DEC,1996,35,6,775,800,,10.1006/jmla.1996.0040,1,1,inner-paper replication,0,same,1,1996,0,1,0,0,0,1,0,conceptual,English,NA,,,,
"Arnett, Nathan; Wagers, Matthew",Subject encodings and retrieval interference,JOURNAL OF MEMORY AND LANGUAGE,"Interference has been identified as a cause of processing difficulty in linguistic dependencies, such as the subject-verb relation (Van Dyke and Lewis, 2003). However, while mounting evidence implicates retrieval interference in sentence processing, the nature of the retrieval cues involved - and thus the source of difficulty - remains largely unexplored. Three experiments used self-paced reading and eyetracking to examine the ways in which the retrieval cues provided at a verb characterize subjects. Syntactic theory has identified a number of properties correlated with subjecthood, both phrase-structural and thematic. Findings replicate and extend previous findings of interference at a verb from additional subjects, but indicate that retrieval outcomes are relativized to the syntactic domain in which the retrieval occurs. One, the cues distinguish between thematic subjects in verbal and nominal domains. Two, within the verbal domain, retrieval is sensitive to abstract syntactic properties associated with subjects and their clauses. We argue that the processing at a verb requires cue-driven retrieval, and that the retrieval cues utilize abstract grammatical properties which may reflect parser expectations. (C) 2016 Elsevier Inc. All rights reserved.",5,APR,2017,93,,22,54,,10.1016/j.jml.2016.07.005,1,1,inner-paper replication,0,same,1,2017,0,1,0,1,1,1,0,conceptual,English,NA,,,,
"Assfalg, Andre; Bernstein, Daniel M.",Puzzles produce strangers: A puzzling result for revelation-effect theories,JOURNAL OF MEMORY AND LANGUAGE,"The revelation effect is a change in response behavior induced by a preceding problem-solving task. Previous studies have shown a revelation effect for faces when the problem-solving task includes attractiveness ratings of the faces. Immediately after this problem-solving task participants judged faces as more familiar than without the problem-solving task. We replicated this result in Experiment 1. Based on the discrepancy-attribution hypothesis, we predicted that a problem-solving task that excludes attractiveness ratings would not elicit a revelation effect. However, we found a reversed revelation effect with a problem-solving task that required participants to solve a puzzle of each face (Experiments 2-3). In Experiments 2 and 3, participants judged faces as less familiar after the puzzle task. Our findings support the notion that the revelation effect may manifest as either an increase or a decrease of the experienced familiarity towards the recognition probe. However, our results contradict all current theories of the revelation effect. We discuss implications of our findings for revelation effect theories and provide a possible explanation. (C) 2012 Elsevier Inc. All rights reserved.",9,JUL,2012,67,1,86,92,,10.1016/j.jml.2011.12.011,1,1,one of several experiments is a replication,0,"Bornstein, B. H., & Wilson, J. R. (2004). Extending the revelation effect to faces: Haven’t we met before? Memory, 12, 140–146.",0,2004,8,0,0,1,0,0,0,partial,English,NA,,,,
"Bailey, KGD; Ferreira, F",Disfluencies affect the parsing of garden-path sentences,JOURNAL OF MEMORY AND LANGUAGE,"Spontaneous speech differs in several ways from the sentences often studied in psycholinguistics experiments. One important difference is that naturally produced utterances often contain disfluencies. In this study, we examined how the presence of uh in a spoken sentence might affect processes that assign syntactic structure (i.e., parsing). Four experiments are reported. In the first, participants judged the grammaticality of sentences that had disfluencies either right before the head noun of the ambiguous phrase or after (e.g., Sandra bumped into the busboy and the uh uh waiter told her to be careful or Sandra bumped into the busboy and the waiter uh uh told her to be careful). Sentences in the latter condition were judged grammatical less often. This result was replicated in the second experiment, in which disfluencies were replaced with environmental sounds. These findings suggest that interruptions can affect syntactic parsing, and the content of the interruption need not be speechlike. In Experiments 3 and 4 we tested whether these effects occurred because listeners use interruptions as cues to help resolve a structural ambiguity. Results from these latter two grammaticality judgment tasks suggest that when an interruption occurs before an ambiguous noun phrase, comprehenders are more likely to assume that the noun phrase is the subject of a new clause rather than the object of an old one, and furthermore, it appears that the parser is relatively insensitive to the form of the interruption. We conclude that disfluencies can influence the parser by signaling a particular structure; at the same time, for the parser, a disfluency might be any interruption to the flow of speech. (C) 2003 Elsevier Science (USA). All rights reserved.",51,AUG,2003,49,2,183,200,,10.1016/S0749-596X(03)00027-5,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Belke, Eva",Long-lasting inhibitory semantic context effects on object naming are necessarily conceptually mediated: Implications for models of lexical-semantic encoding,JOURNAL OF MEMORY AND LANGUAGE,"When participants name several taxonomically related objects in close succession, they display persistent interference effects. Experimental manipulations of the semantic naming context have been used in two variants, a blocked and a continuous paradigm. Counterintuitively, results from previous studies suggest that the context effects induced by these paradigms arise at distinct levels of processing, namely at the lemma level (blocked paradigm), and at the interface of conceptual and lexical representations (continuous paradigm). In five experiments, both variants of the paradigm were assessed in object naming, semantic classification, word naming, and word-plus-determiner naming tasks. Experiments 1-3 show that participants display semantic context effects only in those tasks that mandatorily require conceptual processing (semantic classification, object naming). Experiment 4 fails to replicate the finding that, in the continuous paradigm, semantic context effects can transfer from object naming to word-plus-determiner naming but not vice versa, instead yielding no transfer in either direction. Experiment 5 demonstrates that the effects seen in semantic classification and object naming influence each other, suggesting that they are causally linked and that they both originate at the conceptual level. The implications of these findings for current accounts of lexical-semantic encoding in word production are discussed. (C) 2013 Elsevier Inc. All rights reserved.",55,OCT,2013,69,3,228,256,,10.1016/j.jml.2013.05.008,1,1,one of several experiments is a replication,0,"Damian, M. F., Vigliocco, G., & Levelt, W. J. M. (2001). Effects of semantic context in the naming of pictures and words. Cognition, 81, B77–B86.",0,2001,12,0,0,1,0,0,0,partial,German,NA,,,,
"Bell, Dane; Forster, Kenneth; Drake, Shiloh",Early semantic activation in a semantic categorization task with masked primes: Cascaded or not?,JOURNAL OF MEMORY AND LANGUAGE,"The assumption that activation is cascaded implies that the semantic properties of all neighbors of the input word are activated to varying degrees. This assumption is tested using masked priming in a semantic categorization experiment, where the prime belongs to the same category as the target (a congruent prime), or to a different category (an incongruent prime). In Experiment 1, the prime was a nonword neighbor of an exemplar or non-exemplar of the category, and a clear congruence effect was produced, even though the orthographic overlap was fairly low (e.g., lucchibi-zucchini). In Experiment 2, the prime was a word neighbor (e.g., capable-cabbage), which eliminates the possibility that the prime was simply interpreted as equivalent to the nearest task-relevant word, but a congruence effect was still obtained. Experiment 3 replicated this effect. Experiments 4-6 investigated the possible role of the category using a two-alternative forced choice discrimination task, where the task was simply to guess which of two subsequently presented words was more similar in meaning to the masked word. Despite better than chance performance when the masked word was related to one of the alternatives, performance was at chance when the masked word was a neighbor of a word that was related to one of the alternatives, indicating that semantic activation is not normally cascaded. It is concluded that the categorization task fundamentally alters the way in which a masked word is processed. (C) 2015 Elsevier Inc. All rights reserved.",5,NOV,2015,85,,1,14,,10.1016/j.jml.2015.06.007,1,1,inner-paper replication,0,same,1,2015,0,0,0,1,0,0,0,partial,English,NA,,,,
"Birdsong, D; Molis, M",On the evidence for maturational constraints in second-language acquisition,JOURNAL OF MEMORY AND LANGUAGE,"Second-language (L2) acquisition is generally thought to be constrained by maturational factors that circumscribe a critical period for nativelike attainment. Consistent with the maturational view are age effects among learners who begin L2 acquisition prior to, but not after, closure of the putative critical period. Also favoring the maturational account is the scarcity of late L2 learners at asymptote who perform like natives, and weak effects of native language-target language pairings. With Korean and Chinese learners of English, the experimental study of Johnson and Newport (1989) yielded just these types of evidence. Some subsequent studies do not support the critical period account of L2 acquisition constraints, however. Accordingly, we undertook a replication of Johnson and Newport (1989), using the exact methods and materials of the original experiment, and a sample of Spanish natives (n = 61). In keeping with recent research, L2 attainment negatively correlates with age of learning even if learning commences after the presumed end of the critical period. We also find modest evidence of nativelike attainment among late learners. Our data further suggest that the outcome of L2 acquisition may depend on L1-L2 pairings and L2 use. (C) 2001 Academic Press.",261,FEB,2001,44,2,235,249,,10.1006/jmla.2000.2750,1,1,replication in a different language,0,"Johnson, J. S., & Newport, E. L. (1989). Critical period effects in second language learning: The influence of maturational state on the acquisition of English as a second language. Cognitive Psychology, 21, 60–99.",0,1989,12,0,1,1,0,0,0,conceptual,English (with Spanish natives; initial: Korean and Chinese natives),NA,,,,
"Brand, M; Rey, A; Peereman, R",Where is the syllable priming effect in visual word recognition?,JOURNAL OF MEMORY AND LANGUAGE,"Recent studies using the masked priming paradigm have reported facilitating effects of syllable primes in French and English word naming (Ferrand, Segui, Grainger, 1996; Ferrand, Segui, & Humphreys, 1997). However, other studies have not been able to replicate these effects in Dutch and English (Schiller, 1998, 1999, 2000). In Experiment 1, using the same stimuli and procedure as Ferrand et al. (1996), we did not replicate the syllable priming effect in French. In Experiments 2a and 2b, when prime duration was increased (from 30 to 45 and 60 ms), we did not obtain a syllable priming effect. In Experiment 3, with 60 participants and exactly the same procedure as Ferrand et al. (1996), we again failed to replicate the syllable priming effect. We conclude that the syllable priming effect is not a reliable effect and should be considered cautiously in the elaboration of models of word reading. (C) 2002 Elsevier Science (USA). All rights reserved.",34,FEB,2003,48,2,435,443,PII S0749-596X(02)00522-3,10.1016/S0749-596X(02)00522-3,1,1,replication of a previous study in order to test its validity,0,"Ferrand, L., Segui, J., & Grainger, J. (1996). Masked priming of word and picture naming: the role of syllabic units. Journal of Memory and Language, 35, 708–723.",0,1996,7,0,0,0,0,0,0,direct,French,0,,,,
"BRENNAN, SE; WILLIAMS, M",THE FEELING OF ANOTHERS KNOWING - PROSODY AND FILLED PAUSES AS CUES TO LISTENERS ABOUT THE METACOGNITIVE STATES OF SPEAKERS,JOURNAL OF MEMORY AND LANGUAGE,"In question-answering, speakers display their metacognitive states using filled pauses and prosody (Smith & Clark, 1993). We examined whether listeners are actually sensitive to this information. Experiment 1 replicated Smith and Clark's study; respondents were tested on general knowledge questions, surveyed about their FOK (feeling-of-knowing) for these questions, and tested for recognition of answers. In Experiment 2, listeners heard spontaneous verbal responses from Experiment 1 and were tested on their feeling-of-another's-knowing (FOAK) to see if metacognitive information was reliably conveyed by the surface form of responses. For answers, rising intonation and Longer latencies led to fewer FOAK ratings by listeners. For nonanswers, longer latencies led to higher FOAK ratings. In Experiment 3, electronically edited responses with 1-s latencies led to higher FOAK ratings for answers and lower FOAK ratings for nonanswers than those with 5-s latencies. Filled pauses led to lower ratings for answers and higher ratings for nonanswers than did unfilled pauses. There was no support for a filler-as-morpheme hypothesis, that ''um'' and ''uh'' contrast in meaning. We conclude that listeners can interpret the metacognitive information that speakers display about their states of knowledge in question-answering. (C) 1995 Academic Press, Inc.",195,JUN,1995,34,3,383,398,,10.1006/jmla.1995.1017,1,1,replication and extension of a previous study,0,"Smith, V. L., & Clark, H. H. (1993). On the course of answering questions. Journal of Memory and Language, 32, 25-38.",0,1993,2,0,0,1,0,0,0,partial,English,NA,,,,
"Brown-Schmidt, S; Byron, DK; Tanenhaus, MK",Beyond salience: Interpretation of personal and demonstrative pronouns,JOURNAL OF MEMORY AND LANGUAGE,"Three experiments examined the hypothesis that it preferentially refers to the most salient entity in a discourse, whereas that preferentially refers to a conceptual composite. In Experiment I eye movements were monitored as participants followed spoken instructions such as, Put the cup on the saucer. Now put it/that.... The preferred referent was the theme (cup) for it and the composite for that (cup on the saucer) with the goal (saucer) rarely chosen. Experiment 2 demonstrated that stressing it reduces the number of theme interpretations. Experiment 3 replicated the main findings from Experiment 1, regardless of whether or not the theme was the backward-looking center. The authors conclude that entities without linguistic antecedents are sometimes preferred over entities with linguistic antecedents and a single construct such as salience is insufficient to account for differences among referential forms. Candidate reference-specific constructs include the availability of conceptual composites and syntactic role. (c) 2005 Elsevier Inc. All rights reserved.",50,AUG,2005,53,2,292,313,,10.1016/j.jml.2005.03.003,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,,,NA,,,,
"Brown-Schmidt, Sarah",Partner-specific interpretation of maintained referential precedents during interactive dialog,JOURNAL OF MEMORY AND LANGUAGE,"In dialog settings, conversational partners converge on similar names for referents. These lexically entrained terms [Garrod, S., & Anderson, A. (1987). Saying what you mean in dialog: A study in conceptual and semantic co-ordination. Cognition, 27, 181-218] are part of the common ground between the particular individuals who established the entrained term [Brennan, S. E., & Clark, H. H. (1996). Conceptual pacts and lexical choice in conversation. Journal of Experimental Psychology: Learning, Memory, and Cognition, 22, 1482-1493], and are thought to be encoded in memory with a partner-specific cue. Thus far, analyses of the time-course of interpretation suggest that partner-specific information may not constrain the initial interpretation of referring expressions [Barr, D. J., & Keysar, B. (2002). Anchoring comprehension in linguistic precedents. Journal of Memory and Language, 46, 391-418; Krommuller, E., & Barr, D. J. (2007). Perspective-free pragmatics: Broken precedents and the recovery-from-preemption hypothesis. Journal of Memory and Language, 56, 436-455]. However, these studies used non-interactive paradigms, which may limit the use of partner-specific representations. This article presents the results of three eye-tracking experiments. Experiment la used an interactive conversation methodology in which the experimenter and participant jointly established entrained terms for various images. On critical trials, the same experimenter, or a new experimenter described a critical image using an entrained term, or a new term. The results demonstrated an early, online partner-specific effect for interpretation of entrained terms, as well as preliminary evidence for an early, partner-specific effect for new terms. Experiment 1b used a non-interactive paradigm in which participants completed the same task by listening to image descriptions recorded during Experiment 1a; the results showed that partner-specific effects were eliminated. Experiment 2 replicated the partner-specific findings of Experiment 1 a with an interactive paradigm and scenes that contained previously unmentioned images. The results suggest that partner-specific interpretation is most likely to occur in interactive dialog settings; the number of critical trials and stimulus characteristics may also play a role. The results are consistent with a large body of work demonstrating that the language processing system uses a rich source of contextual and pragmatic representations to guide on-line processing decisions. (C) 2009 Elsevier Inc. All rights reserved.",94,AUG,2009,61,2,171,190,,10.1016/j.jml.2009.04.003,1,1,inner-paper replication,1,same,1,2005,0,1,0,1,0,0,1,conceptual,English,NA,,,,
"Chateau, D; Jared, D",Spelling-sound consistency effects in disyllabic word naming,JOURNAL OF MEMORY AND LANGUAGE,"The present study investigated the role of spelling-sound consistency in naming printed disyllabic words. Participants in Experiment 1 named 1000 monomorphemic six-letter disyllabic words. Spelling-sound consistency measures for 11 orthographic segments were used to predict the naming latencies and error rates on the words. The consistency of vowel segments, particularly the one in the second syllable, contributed significantly to the prediction of naming latencies and error rates. In addition, the consistency of the BOB (body-of-the-BOSS, which is the orthographic segment containing the first vowel grapheme and as many following consonants as make an orthographically legal word ending) was also a significant predictor. The effect of the spelling-sound consistency of BOB and V-2 segments was replicated in factorial experiments. These findings suggest that readers learn spelling-sound relationships not only for individual letters of graphemes but also for larger orthographic segments in disyllabic words, likely those that provide information about pronunciations beyond that of the individual letters of which they are composed. This study provides the kind of information that is needed to extend current models of word recognition beyond their current focus on monosyllabic words to more complex words. (C) 2002 Elsevier Science (USA). All rights reserved.",49,FEB,2003,48,2,255,280,PII S0749-596X(02)00521-1,10.1016/S0749-596X(02)00521-1,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Chubala, Chrissy; Surprenant, Aimee M.; Neath, Ian; Quinlan, Philip T.",Does dynamic visual noise eliminate the concreteness effect in working memory?,JOURNAL OF MEMORY AND LANGUAGE,"Dynamic visual noise (DVN), an array of squares that randomly switch between black and white, interferes with certain tasks that involve visuo-spatial processing. Based on the assumption that the representation of concrete words includes an imagistic code whereas that of abstract words does not, Parker and Dagnall (2009) predicted that DVN should disrupt visual working memory and selectively interfere with memory for concrete words. They observed a reversal of the concreteness effect in both a delayed free recall and a delayed recognition test. In six studies, we partially replicate and extend their work. In Experiments 1 (delayed free recall) and 2 (delayed recognition), DVN abolished, but did not reverse, the concreteness effect. Experiments 3 and 4 found no effect of DVN on a prototypical working memory task, immediate serial recall: concreteness effects were observed in both the control and DVN conditions. In contrast, Experiment 5 showed that DVN abolished the concreteness effect in an immediate serial recognition test. In the final experiment, subjects did not know whether they would receive an immediate serial recall or an immediate serial recognition test until after the list had been presented. Nonetheless, DVN had no effect on immediate serial recall but once again eliminated the concreteness effect on immediate serial recognition. The results (1) extend the effects of DVN on the concreteness effect to working memory tasks, (2) suggest that immediate serial recall and immediate serial recognition are more different than similar, and (3) have implications for theories of DVN, the concreteness effect, and models of memory.",11,OCT,2018,102,,97,114,,10.1016/j.jml.2018.05.009,1,1,replication and extension of a previous study,1,"Parker, A., & Dagnall, N. (2009). Concreteness effects revisited: The influence of dynamic visual noise on memory for concrete and abstract words. Memory, 17, 397-410. doi:10.1080/09658210902802967",0,2009,9,0,0,1,0,0,0,partial,English,NA,,,,
"Dewhurst, SA",Category repetition and false recognition: Effects of instance frequency and category size,JOURNAL OF MEMORY AND LANGUAGE,Three experiments investigated the basis of false recognition errors caused by category repetition. The subjective nature of the false alarms was measured by asking participants to make remember-know decisions to each item they judged as old. Experiment 1 replicated the finding by Dewhurst and Anderson (1999) that false remember responses to nonstudied category members increased with the number of items from the same category that were presented at encoding. Participants in Experiment 2 made more false remember responses to category members of high instance frequency than to members of low instance frequency. Participants in Experiment 3 made more false remember responses to members of small categories than to members of large categories. These findings support the view that the false positive remember responses result from associative responses made to items presented at encoding. (C) 2001 Academic Press.,39,JAN,2001,44,1,153,167,,10.1006/jmla.2000.2738,1,1,one of several experiments is a replication,0,"Dewhurst, S. A., & Anderson, S. J. (1999). Effects of exact and category repetition in true and false recognition memory. Memory & Cognition, 27, 665–673.",1,1999,2,0,0,0,0,0,0,direct,English,1,,,,
"Dilley, Laura C.; Mattys, Sven L.; Vinke, Louis","Potent prosody: Comparing the effects of distal prosody, proximal prosody, and semantic context on word segmentation",JOURNAL OF MEMORY AND LANGUAGE,"Recent work shows that word segmentation is influenced by distal prosodic characteristics of the input several syllables from the segmentation point (Dilley & McAuley, 2008). Here, participants heard eight-syllable sequences with a lexically ambiguous four-syllable ending (e.g., crisis turnip vs. cry sister nip). The prosodic characteristics of the initial five syllables were resynthesized in a manner predicted to favor parsing of the final syllables as either a monosyllabic or a disyllabic word; the acoustic characteristics of the final three syllables were held constant. Experiments la-c replicated earlier results showing that utterance-initial prosody influences segmentation utterance-finally, even when lexical content is removed through low-pass filtering, and even when an on-line cross-modal paradigm is used. Experiments 2 and 3 pitted distal prosody against, respectively, distal semantic context and prosodic attributes of the test words themselves. Although these factors jointly affected which words participants heard, distal prosody remained an extremely robust segmentation cue. These findings suggest that distal prosody is a powerful factor for consideration in models of word segmentation and lexical access. (C) 2010 Elsevier Inc. All rights reserved.",39,OCT,2010,63,3,274,294,,10.1016/j.jml.2010.06.003,1,1,replication of a previous study by the same authors; one of several experiments is a replication,0,"Dilley, L. C., & McAuley, J. D. (2008). Distal prosodic context affects word segmentation and lexical processing. Journal of Memory and Language, 59, 294–311.",1,2008,2,0,0,1,0,0,1,conceptual,English,NA,,,,
"Duyck, W; Szmalec, A; Kemps, E; Vandierendonck, A",Verbal working memory is involved in associative word learning unless visual codes are available,JOURNAL OF MEMORY AND LANGUAGE,"Baddeley, Gathercole, and Papagno (1998) proposed a model of associative word learning in which the phonological loop, as defined in Baddeley's working memory model, is primarily a language learning device, rather than a mechanism for the memorization of familiar words. Using a dual-task paradigm, Papagno, Valentine, and Baddeley (1991) found that articulatory suppression, loading verbal working memory, had an effect on the memorizing of word-nonword pairs, but not on the memorizing of word-concrete word pairs. The present work explored the potential for visual codes in unfamiliar word learning. In a first experiment, we replicated the results of Papagno et al. for both nonwords and highly imageable nouns. In addition, we found that articulatory suppression disrupted the memorizing of word-abstract word pairs, suggesting that phonological involvement may be triggered by the absence of visual representations for the abstract words. Experiment 2 showed that an artificially induced association between a nonword and a nonnameable visual image was sufficient to compensate for diminished verbal working memory resources due to articulatory suppression. In a third experiment, we demonstrated that our results generalize to other types of abstract words (i.e., function words), auditory stimulus presentation, and to word learning in children. (C) 2002 Elsevier Science (USA). All rights reserved.",27,APR,2003,48,3,527,541,,10.1016/S0749-596X(02)00533-8,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Evans, JSBT; Clibbens, J; Rood, B",The role of implicit and explicit negation in conditional reasoning bias,JOURNAL OF MEMORY AND LANGUAGE,"Matching bias in conditional reasoning consists of a tendency to select as relevant cases whose lexical content marches thai referred to in the conditional statement, regardless of the presence of negatives. Evans (1983) demonstrated that use of explicit rather than implicit negative eases markedly reduced the matching bias effect on the conditional truth table task. In apparent contrast, recent studies of explicit negation on the Wason selection task have failed to iind evidence of logical facilitation. Experiment I of the present study strongly replicated the Evans (1983) findings and extended them to three forms of conditional statement. Experiments 2 and 3 showed further that the use of explicit negatives removed completely the matching bias effect on the Wason selection task. However, consistent with other recent studies, this elimination of bias did not lead to facilitation of correct responding. The findings are interpreted as providing evidence chat matching bias reflects a linguistically cued relevance effect. (C) 1996 Academic Press, Inc.",49,JUN,1996,35,3,392,409,,10.1006/jmla.1996.0022,1,1,replication and extension of a previous study,0,"EVANS, J. ST. B. T. (1983). Linguistic determinants of bias in conditional reasoning. Quarterly Journal of Experimental Psychology, 35A, 635–644.",1,1983,13,0,0,0,0,1,1,conceptual,English,NA,,,,
