Author,Title,Journal,Abstract,"Times Cited, WoS Core", ,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,experimental?,Replication?,comments,Open Access (article),citation of initial study,journal of initial study,author overlap,year of initial study,years between initial and replication study,experimental paradigm,sample,materials/set-up,measurement (dependent variable),manipulation (independent variable),control,type of replication,language under investigation,"if direct, check for success",citation count of replication,citation count of initial study until incl. 2020 (retrieved: 16.08.2021),citation count until replication study was published (retrieved: 16.08.2021)
"Ferrand, L; Segui, J; Grainger, J",Masked priming of word and picture naming: The role of syllabic units,JOURNAL OF MEMORY AND LANGUAGE,"A series of word, nonword, and picture naming experiments is reported using the masked priming paradigm with very brief prime exposures. In Experiment 1 naming latencies for both bi- and trisyllabic words were faster when preceded by primes that corresponded to the first syllable than when preceded by primes that contained one letter more or less than the first syllable. Experiment 2 showed syllable priming effects with bisyllabic nonword targets in the naming task, Experiment 3 failed to observe such syllable priming effects with word and nonword targets in the lexical decision task. Finally, Experiment 4 replicated the syllabic priming effects using pictures as targets. These results suggest that the syllable represents a functional unit of output phonology in French. (C) 1996 Academic Press, Inc.",150,OCT,1996,35,5,708,723,,10.1006/jmla.1996.0037,1,1,inner-paper replication,0,same,same,1,1996,0,0,0,1,0,0,0,partial,French,NA,150,,
"Feyereisen, P",The competition between gesture and speech production in dual-task paradigms,JOURNAL OF MEMORY AND LANGUAGE,"The relationship between speech and gesture was analyzed in four experiments that compared the initiation time of manual movements in single gestural tasks and in dual verbal-gestural tasks. Likewise, vocal onset time was compared in single oral and in dual tasks. The findings of the study of Levelt et al. (1985) on deictic expressions were replicated. Performance of a concurrent task delayed the vocal onset time but not the gestural initiation time. Interference in the initiation of the vocal response did not diminish with a precueing procedure that facilitated response preparation. In conclusion, support is provided for the assumption of competition for shared resources by the gestural and speech production systems. These systems are also assumed to interact beyond the moment at which responses are selected. (C) 1997 Academic Press.",22,JAN,1997,36,1,13,33,,10.1006/jmla.1995.2458,1,1,replication and extension of a previous study,0,"LEVELT, W. J. M., RICHARDSON, G., & LA HEIJ, W. (1985). Pointing and voicing in deictic expressions. Journal of Memory and Language, 24, 133–164.",Journal of Memory and Language,0,1985,12,0,0,1,1,0,0,conceptual,French,NA,22,72,10
"Finley, Jason R.; Sungkhasettee, Victor W.; Roediger, Henry L., III; Balota, David A.",Relative contributions of semantic and phonological associates to over-additive false recall in hybrid DRM lists,JOURNAL OF MEMORY AND LANGUAGE,"Two experiments explored false recall of unstudied critical items (e.g., chair) following the presentation of 16 semantic associates to the critical word (e.g., sit, desk), 16 phonological associates to the critical word (e.g., cheer, hair), and every composition of hybrid list in between (e.g., 14 semantic and 2 phonological associates). Results replicated the over additive pattern of critical false recall from hybrid lists relative to pure lists found by Watson, Balota, and Roediger (2003) and clarified the form of the false recall function across varying degrees of hybridization. Both experiments showed that including just one or two of the other type of associate in an otherwise pure list led to a considerable increase in false recall. A within-subjects design (Experiment 1) suggested that after this initial rapid increase, false recall continued to increase gradually to an apex at the balanced hybrid list composition, whereas a between-subjects design (Experiment 2) showed that false recall plateaued after the initial rapid increase and that the overall shape of the function is a ziggurat. Furthermore, the function is roughly symmetrical; semantic and phonological associates appear to make equivalent contributions to over-additive false recall from hybrid lists. The results provide constraints on theoretical accounts of DRM false memories, and can be accommodated by a modified activation/monitoring framework. (C) 2016 Elsevier Inc. All rights reserved.",12,APR,2017,93,,154,168,,10.1016/j.jml.2016.07.006,1,1,replication and extension of a previous study,0,"Watson, J. M., Balota, D. A., & Roediger, H. L. (2003). Creating false memories with hybrid lists of semantic and phonological associates: Over-additive false memories produced by converging associative networks. Journal of Memory and Language, 49, 95â€“118. http://dx.doi.org/10.1016/S0749-596X(03)00019-6.",Journal of Memory and Language,1,2003,14,0,0,0,0,1,0,partial,English,NA,12,63,49
"Forrin, Noah D.; Ralph, Brandon C. W.; Dhaliwal, Navi K.; Smilek, Daniel; MacLeod, Colin M.",Wait for it...performance anticipation reduces recognition memory,JOURNAL OF MEMORY AND LANGUAGE,"Conventional wisdom suggests that there is an encoding decrement prior to performing in front of others. We hypothesized that this pre-performance memory deficit-the next-in-line effect (Brenner, 1973)-should also occur in the context of mixed-list memory experiments where one of the conditions requires performance. As the testing ground for this prediction, we used the production effect (i.e., enhanced memory for words that are read aloud vs. silently). Specifically, we examined whether performance anticipation imposes a memorial cost on silent items studied in a mixed list (among performed aloud items) relative to a pure-silent list. Experiment 1 established this mixed-list cost in recognition (replicating Bodner, Taikh, & Fawcett, 2014). In Experiments 2 and 3, providing foreknowledge of the task to be performed on upcoming study items-thereby allowing participants to see when they would have to read aloud-led to diminished memory for silent items that were studied immediately before aloud items. In Experiment 4, in the absence of an experimenter, the pre-performance cost to silent items was non-significant (with Bayesian evidence supporting the null), consistent with the notion that the presence of the experimenter (a social factor) contributed to performance anticipation. Taken together, these results imply that performance anticipation drives the mixed-list cost of production shown by the silent items (and may explain costs observed in other memory research). Performance anticipation may reduce memory for pre-performance information by diverting attention away from that information.",1,DEC,2019,109,,,,104050,10.1016/j.jml.2019.104050,1,1,,0,"Forrin, N. D., & MacLeod, C. M. (2016). Order information is used to guide recall of long
lists: Further evidence for the item-order account. Canadian Journal of Experimental
Psychology, 70, 125–138.",Canadian Journal of Experimental Psychology,1,2016,3,0,0,0,0,0,0,direct,English,1,1,5,2
"Frisson, Steven; Harvey, David R.; Staub, Adrian",No prediction error cost in reading: Evidence from eye movements,JOURNAL OF MEMORY AND LANGUAGE,"Two eye movement while reading experiments address the issue of how reading of an unpredictable word is influenced by the presence of a more predictable alternative. The experiments replicate the robust effects of predictability on the probability of skipping and on early and late reading time measures. However, in both experiments, an unpredictable but plausible word was read no more slowly when another word was highly predictable (i.e., in a constraining context) than when no word was highly predictable (i.e., in a neutral context). In fact, an unpredictable word that was semantically related to the predictable alternative demonstrated facilitation in the constraining context, in relatively late eye movement measures. These results, which are consistent with Luke and Christianson's (2016) corpus study, provide the first evidence from a controlled experimental design for the absence of a prediction error cost, and for facilitation of an unpredictable but semantically related word, during normal reading. The findings support a model of lexical predictability effects in which there is broad pre-activation of potential continuations, rather than discrete predictions of specific lexical items. Importantly, pre-activation of likely continuations does not result in processing difficulty when some other word is actually encountered. (C) 2017 Elsevier Inc. All rights reserved.",15,AUG,2017,95,,200,214,,10.1016/j.jml.2017.04.007,1,0,no clear communication of intent to replicate an original study,1,,,,,NA,,,,,,,NA,,,15,,
"Fukumura, Kumiko",Ordering adjectives in referential communication,JOURNAL OF MEMORY AND LANGUAGE,"We contrasted two hypotheses concerning how speakers determine adjective order during referential communication. The discriminatory efficiency hypotheses claims that speakers place the most discriminating adjective early to facilitate referent identification. By contrast, the availability-based ordering hypothesis assumes that speakers produce most available adjectives early to ease production. Experiment 1 showed that speakers use more pattern-before-color modifier orders (than the reversed) when pattern, not color, distinguished the referent from alternatives, providing support for the discriminatory efficiency hypothesis. Participants also overspecified color more often than pattern, and they generally favored color-before-pattern orders, in support of the availability-based ordering hypothesis. Experiments 2 and 3 replicated both effects in a dialogue setting, where speakers' adjective ordering was also primed by their partner's ordering, using conjoined and non-conjoined constructions. We propose a novel model (PASS) that explains how discriminability and availability simultaneously influence adjective selection and ordering via competition in the speaker's message representation.",9,AUG,2018,101,,37,50,,10.1016/j.jml.2018.03.003,1,0,no clear communication of intent to replicate an original study,1,,,,,NA,,,,,,,NA,,NA,9,,
"Gagne, Christina L.; Spalding, Thomas L.",Inferential processing and meta-knowledge as the bases for property inclusion in combined concepts,JOURNAL OF MEMORY AND LANGUAGE,"Past research has found that the judged likelihood of properties of modified nouns (baby ducks have webbed feet) is reduced relative to unmodified nouns (ducks have webbed feet). Experiments 1-3 replicate the modification effect and demonstrate that this effect is obtained when participants make dichotomous decisions about the truth of such statements. In addition, measures of processing time indicate that properties are not immediately inherited during the composition process, but rather must be inferred. Experiments 2-3 included statements containing content-free modifiers (chonk ducks have webbed feet) to examine the extent to which the modification effect is influenced by the content of the modifier and knowledge about the combined concepts. Taken together, these results argue in favor of an inferential process that operates at the level of logical forms or structures, which are content-free, as well as operating on the content of the head noun category. In this framework, properties are inferred after a structural interpretation has been derived. (C) 2011 Elsevier Inc. All rights reserved.",14,AUG,2011,65,2,176,192,,10.1016/j.jml.2011.03.005,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,,14,,
"Gallo, DA; Roediger, HL",Variability among word lists in eliciting memory illusions: evidence for associative activation and monitoring,JOURNAL OF MEMORY AND LANGUAGE,"Associative lists created by the same means are remarkably different in their propensity to elicit false memories in the DRM (Deese, 1959; Roediger & McDermott, 1995) paradigm. We confirmed this variability in Experiment I by constructing lists in the typical fashion but with words that were weakly associated to their critical words. Low levels of false recall occurred. In Experiment 2 these results were replicated at three presentation rates (.5, 1, and 3 s per word). Also, slower presentation rates yielded lower false recall for both strong and weak lists. Experiment 3 showed that false recognition rates also varied across lists, as did subjective ratings accompanying false recognition. We interpret these findings as supporting an activation/monitoring framework. Lists vary in a principled way in their tendency to activate the critical item, and slowing the presentation rate permits greater accrual of item-specific information that makes monitoring of retrieval more accurate. (C) 2002 Elsevier Science (USA). All rights reserved.",160,OCT,2002,47,3,469,497,PII S0749-596X(02)00013-X,10.1016/S0749-596X(02)00013-X,1,0,,0,,,,,NA,,,,,,,NA,,,160,,
"Garnsey, SM; Pearlmutter, NJ; Myers, E; Lotocky, MA",The contributions of verb bias and plausibility to the comprehension of temporarily ambiguous sentences,JOURNAL OF MEMORY AND LANGUAGE,"Eyetracking and the self-paced moving-window reading paradigm were used in two experiments examining the contributions of both frequency-based verb biases and the plausibility of particular word combinations to the comprehension of temporarily ambiguous sentences. The temporary ambiguity concerned whether a noun following a verb was its direct object (The senator regretted the decision immediately.), or instead the subject of an embedded clause (The senator regretted the decision had been made public.). The experiments crossed the plausibility of the temporarily ambiguous noun as a direct object (e.g., The senator regretted the decision ... vs The senator regretted the reporter ...) with verb bias, eliminating a confound present in earlier research and allowing an examination of interactions between the two factors. Unbiased verbs were included as well to evaluate the role of plausibility in the absence of verb bias. The results generally replicated Trueswell, Tanenhaus, and Kello's (1993) finding that verb bias has rapid effects on ambiguity resolution, and showed in addition that verb bias and plausibility interact during comprehension. The results are most consistent with parallel interactive models of language comprehension such as constraint satisfaction models. (C) 1997 Academic Press.",348,JUL,1997,37,1,58,93,,10.1006/jmla.1997.2512,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,348,,
"Hamilton, M; Rajaram, S",The concreteness effect in implicit and explicit memory tests,JOURNAL OF MEMORY AND LANGUAGE,"Four experiments were conducted to examine the concreteness effect ill implicit and explicit memory measures. Experiment 1 replicated prior reports of an imagery effect on an implicit conceptual memory test. In Experiment 2. we confirmed our prediction of conceptual sensitivity of free recall, explicit general knowledge, explicit word fragment completion, and the implicit general knowledge tests with a levels of processing manipulation. Furthermore, although we obtained the concreteness effect (better memory for concrete than abstract nouns) in free recall and we explicit general knowledge test, we failed to find this effect in the implicit general knowledge test. Experiment 3 revealed that the failure to iind the concreteness effect on the implicit general knowledge test was not attributable to combining two encoding manipulations in Experiment 2. In Experiment 4. we ruled out the possibility that the failure to find the concreteness effect in conceptual implicit memory may be related to the number of meaningful associates for targets, We discuss the implications of these findings within the context of the transfer appropriate processing framework (Roediger, Weldon, & Challis, 1989) and the dual-code hypothesis (Paivio, 1971, 1991) of memory. (C) 2001 Academic Press.",44,JAN,2001,44,1,96,117,,10.1006/jmla.2000.2749,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,44,,
"Hanczakowski, Maciej; Zawadzka, Katarzyna; Pasek, Tomasz; Higham, Philip A.",Calibration of metacognitive judgments: Insights from the underconfidence-with-practice effect,JOURNAL OF MEMORY AND LANGUAGE,"Research on calibration typically compares mean judgments-of-learning (JOLs) made on a 0-100% scale with mean recall to determine whether there is overconfidence (JOL > recall), underconfidence (JOL < recall), or realism (JOL = recall). This research is founded on the assumption that JOLs directly reflect underlying representations of probability, which, if true, should mean that results from studies employing per cent JOL scales will generalize to other measures of subjective probability. We report four experiments that tested this assumption in the context of the underconfidence-with-practice (UWP) effect, the finding that JOLs underestimate recall on second and subsequent study-test cycles of multi-cycle paired-associate learning tasks (e.g., Koriat, Sheffer, 82 Ma'ayan, 2002). In particular, after replicating the standard UWP effect with scale JOLs in Experiment 1, we tested whether the effect would generalize to a binary JOL judgment in Experiment 2 and/or a binary betting decision in Experiment 3. In neither experiment was the UWP effect observed. Finally, to ensure that memorial and metamemorial evidence was equated for each judgment type, each item was assigned both a scale JOL and a binary betting decision in Experiment 4. UWP was observed for the 0-100% scale JOL, but not the binary betting decision. Together, the results suggest that JOLs may not directly reflect subjective probability but rather reflect an initial yes/no decision about future recall followed by a confidence rating. (C) 2013 Elsevier Inc. All rights reserved.",23,OCT,2013,69,3,429,444,,10.1016/j.jml.2013.05.003,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,,23,,
"Hartsuiker, RJ; Corley, M; Martensen, H","The lexical bias effect is modulated by context, but the standard monitoring account doesn't fly: Related beply to Baars et al. (1975)",JOURNAL OF MEMORY AND LANGUAGE,"The lexical bias effect is the tendency for phonological speech errors to result in words more often than in nonwords. This effect has been accounted for by postulating feedback from sublexical to lexical representations, but also by assuming that the self-monitor covertly repairs more nonword errors than word errors. The only evidence that appears to exclusively support a monitoring account is Baars, Motley, and MacKay's (1975) demonstration that the lexical bias is modulated by context: There was lexical bias in a mixed context of words and nonwords, but not in a pure nonword context. However, there are methodological problems with that experiment and theoretical problems with its interpretation. Additionally, a recent study failed to replicate contextual modulation (Humphreys, 2002). We therefore conducted two production experiments that solved the methodological problems. Both experiments showed there is indeed contextual modulation of the lexical bias effect. A control perception experiment excluded the possibility that the comprehension component of the task contributed to the results. In contrast to Baars et al., the production experiments suggested that lexical errors are suppressed in a nonword context. This supports a new account by which there is both feedback and self-monitoring, but in which the self-monitor sets its criteria adaptively as a function of context. (C) 2004 Elsevier Inc. All rights reserved.",56,JAN,2005,52,1,58,70,,10.1016/j.jml.2004.07.006,1,1,replication and extension of a previous study,0,"Baars, B. J., Motley, M. T., & MacKay, D. G. (1975). Output editing for lexical status in artificially elicited slips of the tongue. Journal of Verbal Learning and Verbal Behavior, 14, 382â€“391.",Journal of Verbal Learning and Verbal Behavior,0,1975,30,0,0,0,0,0,1,partial,English,NA,56,231,136
"Hartsuiker, RJ; Anton-Mendez, I; van Zee, M",Object attraction in subject-verb agreement construction,JOURNAL OF MEMORY AND LANGUAGE,"Three experiments in which errors of subject-verb agreement were elicited assessed the effects of syntactic function and part of speech of the constituent appearing immediately before the verb. Bock and Miller (1991) have shown that constituents modifying the subject exert an attraction effect, an increased rate of agreement errors when that constituent has a grammatical number different from that of the subject head noun. Experiment Ia. conducted in Dutch, showed that such an attraction effect is not restricted to sentences in which the number mismatching information is embedded within the subject: Direct-object noun phrases exert an attraction effect as well, although a smaller one than subject modifier noun phrases. Experiment lb replicated this effect with new materials, excluding a possible confound with plausibility of the sentences. Experiment 2 showed that direct-object pronouns exert an attraction effect about as strong as that observed with nouns, unless the pronoun is explicitly case-marked. In such circumstances no attraction effect obtains. These results are interpreted within the hypothesis that the number of phrasal nodes intervening between attractor and subject head noun determines the strength of attraction effects. (C) 2001 Academic Press.",66,NOV,2001,45,4,546,572,,10.1006/jmla.2000.2787,1,1,inner-paper replication,0,same,same,1,2001,0,0,0,1,0,0,0,partial,Dutch,NA,66,,
"Heathcote, Andrew; Raymond, Frances; Dunn, John",Recollection and familiarity in recognition memory: Evidence from ROC curves,JOURNAL OF MEMORY AND LANGUAGE,"Does recognition memory rely on discrete recollection, continuous evidence, or both? Is continuous evidence sensitive to only the recency and duration of study (familiarity), or is it also sensitive to details of the study episode? Dual process theories assume recognition is based on recollection and familiarity, with only recollection providing knowledge about study details. Single process theories assume a single continuous evidence dimension that can provide information about familiarity and details. We replicated list (Yonelinas, 1994) and plural (Rotello, Macmillan, & Van Tassel, 2000) discrimination experiments requiring knowledge of details to discriminate targets from similar non-targets. We also ran modified versions of these experiments aiming to increase recollection by removing non-targets that could be discriminated by familiarity alone. Single process models provided the best trade-off between goodness-of-fit and model complexity and dual process models were able to account for the data only when they incorporated continuous evidence sensitive to details. (c) 2006 Elsevier Inc. All rights reserved.",35,NOV,2006,55,4,495,514,,10.1016/j.jml.2006.07.001,1,1,replication of a previous study in order to test its validity,0,"Yonelinas, A. P. (1994). Receiver-operating characteristics in recognition memory: Evidence for a dual process model. Journal of Experimental Psychology: Learning, Memory and Cognition, 20(6), 1341-1354.",Journal of Experimental Psychology,0,1994,12,0,0,1,0,1,0,conceptual,English,NA,35,732,202
"Hennessee, Joseph P.; Patterson, Tara K.; Castel, Alan D.; Knowlton, Barbara J.",Forget me not: Encoding processes in value-directed remembering,JOURNAL OF MEMORY AND LANGUAGE,"Valuable items are often remembered better than less valuable items, but research on the mechanisms supporting this value effect is limited. In the current study, we sought to determine how items might be differentially encoded based on their value. In Experiment 1, participants studied words associated with point-values which were followed by a cue to either Remember the word for a later test or Forget the word. While to-be-forgotten words were recognized at a lower rate than to-be-remembered words, there was a significant effect of value for to-be-forgotten words when the Forget cue was presented immediately after the word, suggesting a relatively automatic enhancement of encoding by value. In Experiment 2, we examined to what extent participants engage in more effective encoding strategies for high-value items. Participants studied a list of words with different point-values, and were instructed either to construct a mental image of the item, use rote rehearsal to learn the items, or were not given any study strategy. There were significant effects of value for items that were studied under rote rehearsal or when no strategy instruction was given. However, effects of value were nearly eliminated when participants used a mental imagery strategy for all items as this strategy boosted memory for low-value items. In Experiment 3, we sought to replicate Experiment 2 with an encoding manipulations that required responses on each trial as a manipulation check. Participants were instructed to generate a sentence containing each item, count the consonants in each item, or were not given any encoding instructions. Consistent with Experiment 2, these manipulations eliminated the effects of value on recognition memory. Thus, it appears that participants engage in more effective encoding strategies for high-value words because the benefit of value was substantially reduced when participants were required to use the same encoding strategy for all items. Together, these results suggest that valuable items are encoded more effectively due to strategic, and to a lesser extent, automatic mechanisms.",1,JUN,2019,106,,29,39,,10.1016/j.jml.2019.02.001,1,1,inner-paper replication,0,same,same,1,2019,0,0,0,0,1,1,0,conceptual,English,NA,1,,
"Hernandez, Mireia; Martin, Clara D.; Barcelo, Francisco; Costa, Albert",Where is the bilingual advantage in task-switching?,JOURNAL OF MEMORY AND LANGUAGE,"Based on previous reports of bilinguals' reduced non-linguistic switch cost, we explored how bilingualism affects various task-switching mechanisms. We tested different groups of Spanish monolinguals and highly-proficient Catalan-Spanish bilinguals in different task-switching implementations. In Experiment 1 we disengaged the restart cost typically occurring after a cue from the switch cost itself using two cue-task versions varying in explicitness. In Experiment 2 we tested bilingualism effects on overriding conflicting response sets by including bivalency effects. In Experiment 3 we attempted to replicate the reduced switch cost of bilinguals with the same implementation as in previous studies. Relative to monolinguals, bilinguals showed a reduced restart cost in the implicit cue-task version of Experiment 1 and overall faster response latencies in Experiment 2. However, bilinguals did not show reduced switch cost in any experiment - not even in an omnibus analysis combining the standardized switch cost scores of 292 participants across the three experiments. These results qualify previous claims about bilingualism reducing non-linguistic switch costs. (C) 2013 Elsevier Inc. All rights reserved.",89,OCT,2013,69,3,257,276,,10.1016/j.jml.2013.06.004,1,1,replication in a different language,0,"Prior, A., & Gollan, T. H. (2011). Good language-switchers are good taskswitchers: Evidence from Spanishâ€“English and Mandarinâ€“English bilinguals. Journal of International Neuropsychological Society, 17, 682â€“691.",Journal of International Neuropsychologial Society,0,2011,2,0,1,1,0,0,0,conceptual,Spanish-Catalan bilinguals (previously English-Spanish and English-Mandarin bilinguals),NA,89,237,15
"Hollins, Timothy J.; Lange, Nicholas; Berry, Christopher J.; Dennis, Ian",Giving and stealing ideas in memory: Source errors in recall are influenced by both early-selection and late-correction retrieval processes,JOURNAL OF MEMORY AND LANGUAGE,"Previous studies of unconscious plagiarism have asked participants to recall their own ideas from a previous group-problem solving session, and have typically reported that people mistakenly include a partner's responses when trying to recall their own. To date, there has been little research looking at the propensity to include one's own responses when trying to recall a partner's previous contribution to the group. Experiment I demonstrated that people make both kinds of source-error during recall, but source errors are more common in the recall-partner task. This pattern was replicated in Experiments 2a and 2b with source-errors and intrusions increasing over a delay. Experiment 3 used an extended version of each recall task, in which participants reported all items that came to mind, whilst indicating which responses were goal-relevant. The tendency for source-errors to occur more for the recall-partner task was shown to be a function of both idea availability and output monitoring, whereas the tendency for source-errors to increase over a delay was shown to be due solely to output monitoring. Thus, unconscious plagiarism errors are one instantiation of the more general problem of source-specified recall, which is influenced jointly by processes at generation and output monitoring. (C) 2016 Elsevier Inc. All rights reserved.",5,JUN,2016,88,,87,103,,10.1016/j.jml.2016.01.004,1,1,inner-paper replication,0,same,same,1,2016,0,1,0,0,0,1,1,conceptual,English,NA,5,,
"Hostetter, Autumn B.; Alibali, Martha W.","Language, gesture, action! A test of the Gesture as Simulated Action framework",JOURNAL OF MEMORY AND LANGUAGE,"The Gesture as Simulated Action (GSA) framework (Hostetter & Alibali, 2008) holds that representational gestures are produced when actions are simulated as part of thinking and speaking. Accordingly, speakers should gesture more when describing images with which they have specific physical experience than when describing images that are less closely tied to action. Experiment 1 supported this hypothesis by showing that speakers produced more representational gestures when describing patterns they had physically made than when describing patterns they had only viewed. Experiment 2 replicated this finding and ruled out the possibility that the effect is due to decreased opportunity for verbal rehearsal when speakers physically made the patterns. Experiment 3 ruled out the possibility that the effect in Experiments 1 and 2 was due to motor priming from making the patterns. Taken together, these experiments support the central claim of the GSA framework by suggesting that speakers gesture when they express thoughts that involve simulations of actions. (C) 2010 Elsevier Inc. All rights reserved.",72,AUG,2010,63,2,245,257,,10.1016/j.jml.2010.04.003,1,1,inner-paper replication,0,same,same,1,2010,0,0,0,1,0,0,0,partial,English,NA,72,,
"Hunt, R. Reed; Smith, Rebekah E.; Dunlap, Kathryn R.",How does distinctive processing reduce false recall?,JOURNAL OF MEMORY AND LANGUAGE,"False memories arising from associatively related lists are a robust phenomenon that resists many efforts to prevent it. However, a few variables have been shown to reduce this form of false memory. Explanations for how the reduction is accomplished have focused on either output monitoring processes or constraints on access, but neither idea alone is sufficient to explain extant data. Our research was driven by a framework that distinguishes item-based and event-based distinctive processing to account for the effects of different variables on both correct recall of study list items and false recall. We report the results of three experiments examining the effect of a deep orienting task and the effect of visual presentation of study items, both of which have been shown to reduce false recall. The experiments replicate those previous findings and add important new information about the effect of the variables on a recall test that eliminates the need for monitoring. The results clearly indicate that both post-access monitoring and constraints on access contribute to reductions in false memories. The results also showed that the manipulations of study modality and orienting task had different effects on correct and false recall, a pattern that was predicted by the item-based/event-based distinctive processing framework. (C) 2011 Elsevier Inc. All rights reserved.",29,NOV,2011,65,4,378,389,,10.1016/j.jml.2011.06.003,1,0,no clear communication of intent to replicate an original study,1,,,,,NA,,,,,,,NA,,NA,29,,
"Jaeger, Lena A.; Mertzen, Daniela; Van Dyke, Julie A.; Vasishth, Shravan",Interference patterns in subject-verb agreement and reflexives revisited: A large-sample study,JOURNAL OF MEMORY AND LANGUAGE,"Cue-based retrieval theories in sentence processing predict two classes of interference effect: (i) Inhibitory interference is predicted when multiple items match a retrieval cue: cue-overloading leads to an overall slowdown in reading time; and (ii) Facilitatory interference arises when a retrieval target as well as a distractor only partially match the retrieval cues; this partial matching leads to an overall speedup in retrieval time. Inhibitory interference effects are widely observed, but facilitatory interference apparently has an exception: reflexives have been claimed to show no facilitatory interference effects. Because the claim is based on underpowered studies, we conducted a large-sample experiment that investigated both facilitatory and inhibitory interference. In contrast to previous studies, we find facilitatory interference effects in reflexives. We also present a quantitative evaluation of the cue-based retrieval model of Engelmann, Jager, and Vasishth (2019).",7,APR,2020,111,,,,104063,10.1016/j.jml.2019.104063,1,1,replication of a previous study in order to test its validity,1,"Dillon, B., Mishler, A., Sloggett, S., & Phillips, C. (2013). Contrasting intrusion profiles for agreement and anaphora: Experimental and modeling evidence. Journal of Memory and Language, 69 , 85â€“103.",Journal of Memory and Language,0,2013,7,0,0,1,0,0,0,partial,English,NA,7,104,104
"Janssen, N; Caramazza, A",The selection of closed-class words in noun phrase production: The case of Dutch determiners,JOURNAL OF MEMORY AND LANGUAGE,"In three experiments we tested the predictions of two models of determiner selection in the production of Dutch noun phrases (NPs). In Experiment 1, participants named pictures using plural and unmarked determiner + noun NPs. In Experiment 2, participants named pictures using diminutive and unmarked determiner + noun NPs. In both experiments, we found that production latencies for plural and diminutive NPs relative to their unmarked baselines were affected by the gender of the base noun even though this feature of nouns is logically unnecessary in the selection of determiners in these types of NPs. In Experiment 3, we replicated the findings of Experiments 1, and generalized the observed pattern of results to a new condition: plural-diminutive NPs. This pattern of results, showing that the gender of the base noun is visible to the determiner selection process even when this information is logically superfluous, finds a ready explanation in frame-based models of determiner selection and is inconsistent with hierarchical models of determiner selection. (C) 2002 Elsevier Science (USA). All rights reserved.",30,APR,2003,48,3,635,652,,10.1016/S0749-596X(02)00531-4,1,1,inner-paper replication,0,same,same,1,2003,0,0,0,1,0,1,0,conceptual,Dutch,NA,30,,
"Johnson, EK; Jusczyk, PW",Word segmentation by 8-month-olds: When speech cues count more than statistics,JOURNAL OF MEMORY AND LANGUAGE,"Fluent speech contains few pauses between adjacent words. Cues such as stress, phonotactic constraints, and the statistical structure: of the input aid infants in discovering word boundaries. None of the many available segmentation cues is foolproof. So. we used the headturn preference procedure to investigate infants. integration of multiple cues. We also explored whether infants find speech cues produced by coarticulation useful in word segmentation.. Using natural speech syllables. we replicated Saffran. Aslin. et al.'s (1996) study demonstrating that X-month-olds can segment a continuous stream of speech based on statistical cues alone. Next. Eve added conflicting segmentation cuts. Experiment 2 pitted stress against statistics. whereas Experiment 3 pitted coarticulation against statistics. In both cases. 8-month-olds weighed speech cues more heavily than statistical cues. This I,observation was verified in Experiment 4, which indicated that greater complexity of the familiarization sequence does not necessarily lead to familiarity effects. (C) 2001 Academic Press.",307,MAY,2001,44,4,548,567,,10.1006/jmla.2000.2755,1,1,replication of a previous study as a baseline,0,"Saffran, J. R., Aslin, R. N., & Newport, E. L. (1996). Statis- tical learning by 8-month-old infants. Science, 274, 1926–1928.",Science,0,1996,5,0,0,1,0,0,0,partial,English,NA,307,2223,99
"Kim, J; Davis, C",Task effects in masked cross-script translation and phonological priming,JOURNAL OF MEMORY AND LANGUAGE,"This study examined cross-language masked priming with Korean-English unbalanced bilinguals. The aim was to determine if the type of prime and target relationship and the type of response task would modulate across-language priming effects. The nature of the relationship between prime (Korean: L1) and target (English: L2) pairs was manipulated so that they shared semantics and phonology (cognate translations), semantics only (noncognate translations), phonology only (homophones), or neither phonology nor semantics (baseline). These prime types were tested in three different response tasks, i.e., lexical decision, naming, and semantic categorization. In the lexical decision task (Experiment 1), significant priming from cognate and noncognate translation primes was observed. Homophone primes did not produce a significant priming effect.]it the naming task (Experiment 2), both cognate and homophone primes produced significant priming effects but the noncognate translation primes did not. Experiment 3 replicated the homophone priming effect and showed that it was unlikely to be due to the shared initial phonemes of primes and targets. Finally, the semantic categorization task (Experiment 4) showed cognate and noncognate translation priming but not homophone priming. The results indicated that priming was affected both by prime-target relationship and by task type; this outcome was discussed in terms of the regulation of lexical information by a task-decision system. (C) 2003 Elsevier Inc. All rights reserved.",89,NOV,2003,49,4,484,499,,10.1016/S0749-596X(03)00093-7,1,1,inner-paper replication,0,same,same,1,2003,0,0,1,1,0,1,0,conceptual,English,NA,89,,
